Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
1D,1D,,,,,,,0,8.183,,19.807
bew,2D,,,,,,,17.099,8.283,,36.239
cpj,2D,,,,,,,,,,39.733
cqb,2D,,,,,,,,,,40.752
cqd,2D,,,,,,,,,,41.173
cqe,2D,,,,,,,1.552,8.19,,21.281
dha,2D,,,,,,,,,,39.296
dhb,2D,,,,,,,6.927,8.141,,27.184
dhc,2D,,,,,,,,,,41.928
dhd,2D,,,,,,,,,,42.631
fwc,2D,,,,,,,,,,42.080
fwd,2D,,,,,,,,,,41.581
fwe,2D,,,,,,,,,,39.998
htb,2D,,,,,,,,,,39.604
kgm,2D,,,,,,,,,,46.848
krq,2D,,,,,,,,,,40.891
krr,2D,,,,,,,,,,39.485
krs,2D,,,,,,,8.268,8.233,,30.327
pnb,2D,,,,,,,,,,41.544
pnc,2D,,,,,,,,,,39.387
pne,2D,,,,,,,,,,38.908
pnf,2D,,,,,,,,,,42.174
sql,2D,,,,,,,9.555,8.226,,27.400
abr,3D,,,,,,,,,,85.254
acsa,3D,,,,,,,,,,79.654
afi,3D,,,,,,,,,,108.528
afw,3D,,,,,,,,,,93.277
afy,3D,,,,,,,,,,95.129
aht,3D,,,,,,,,,,100.382
alba,3D,,,,,,,,,,101.539
albxd,3D,,,,,,,,,,92.864
apc,3D,,,,,,,,,,125.469
apd,3D,,,,,,,,,,121.173
atn,3D,,,,,,,,,,107.640
att,3D,,,,,,,,,,89.507
atv,3D,,,,,,,,,,100.226
aww,3D,,,,,,,,,,123.378
baa,3D,,,,,,,,,,107.116
bab,3D,,,,,,,,,,76.189
bac,3D,,,,,,,,,,119.646
baf,3D,,,,,,,,,,115.115
bal,3D,,,,,,,,,,91.629
bao,3D,,,,,,,,,,98.286
bap,3D,,,,,,,,,,94.875
bay,3D,,,,,,,,,,101.433
bba,3D,,,,,,,,,,102.137
bbb,3D,,,,,,,,,,153.491
bbc,3D,,,,,,,,,,108.540
bbd,3D,,,,,,,,,,110.765
bbg,3D,,,,,,,,,,109.487
bbh,3D,,,,,,,,,,104.941
bbi,3D,,,,,,,,,,90.103
bbj,3D,,,,,,,,,,121.133
bbk,3D,,,,,,,,,,98.866
bbl,3D,,,,,,,,,,105.637
bbm,3D,,,,,,,,,,92.471
bbr,3D,,,,,,,,,,90.935
bcb,3D,,,,,,,,,,115.357
bcd,3D,,,,,,,,,,114.944
bce,3D,,,,,,,,,,101.154
bcf,3D,,,,,,,,,,109.908
bcm,3D,,,,,,,,,,110.187
bcn,3D,,,,,,,,,,95.913
bco,3D,,,,,,,,,,108.456
bcp,3D,,,,,,,,,,127.864
bcx,3D,,,,,,,,,,105.423
bel,3D,,,,,,,,,,90.483
bik,3D,,,,,,,,,,113.588
bnl,3D,,,,,,,,,,98.790
byl,3D,,,,,,,,,,134.153
