,Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
0,1D,1D,1.46377,0,0,4.45348,1.52079,0,0.001375407,8.184845753,,57.092
1,bew,2D,1.49329,0,0,4.40893,1.43232,0,13.92239469,8.221550949,,69.125
2,cpj,2D,1.44929,0,0,4.3406,1.76264,0,,,,72.146
3,cqb,2D,1.41229,0,0,5.02517,2.10139,0,,,,72.875
4,cqd,2D,1.40762,0,0,6.39659,1.93294,0,,,,74.881
5,cqe,2D,1.46425,0,0,4.54497,1.71171,0,1.357637472,8.221161718,,57.443
6,dha,2D,1.15851,0.09778,638.743,10.60622,6.62119,0.0844018,,,,80.47
7,dhb,2D,1.42199,0,0,5.96349,2.77699,0,4.134091874,8.185902516,,61.101
8,dhc,2D,1.23367,0.09268,252.53,19.40596,15.80285,0.0751255,,,,77.776
9,dhd,2D,1.28038,0,0,11.09806,2.50544,0,,,,104.933
10,fwc,2D,1.47842,0,0,5.21639,1.73016,0,,,,72.52
11,fwd,2D,1.40452,0,0,7.97903,2.79594,0,,,,76.076
12,fwe,2D,1.42826,0,0,6.7213,1.67594,0,,,,72.871
13,htb,2D,1.40513,0,0,7.4485,1.75616,0,,,,73.988
14,kgm,2D,1.47523,0,0,4.20521,1.6402,0,10.30396964,8.200036585,,67.55
15,krq,2D,1.42627,0,0,7.88818,2.42143,0,,,,75.041
16,krr,2D,1.41405,0,0,4.54349,1.65307,0,,,,73.737
17,krs,2D,1.39462,0,0,6.80904,1.74024,0,9.107998103,8.19910361,,66.124
18,pnb,2D,1.41807,0,0,5.47381,1.72558,0,,,,76.031
19,pnc,2D,1.43981,0,0,6.05337,2.38826,0,,,,73.228
20,pne,2D,1.37175,0,0,9.35942,2.03816,0,,,,75.781
21,pnf,2D,1.3417,0,0,9.45035,1.89097,0,,,,108.229
22,sql,2D,1.47374,0,0,4.74474,1.63665,0,,,,70.664
23,abr,3D,0.347637,0.5968,3545.11,24.56807,16.08088,1.71673,,,,146.496
24,acsa,3D,0.329035,0.64292,3010.2,29.26335,23.85515,1.95395,,,,116.573
25,afi,3D,0.337652,0.59828,3834.13,36.4397,33.53911,1.77188,,,,141.04
26,afw,3D,0.3724,0.5664,3800.82,19.51208,13.72561,1.52095,,,,137.006
27,afy,3D,0.274694,0.69454,2984.64,38.98953,30.40889,2.52842,,,,124.681
28,aht,3D,0.349109,0.59456,3607.17,29.18228,25.80359,1.70308,,,,137.432
29,alba,3D,0.348027,0.59658,3607.98,24.84168,17.72159,1.71418,,,,132.144
30,albxd,3D,0.310765,0.61752,4148.92,36.14918,15.32502,1.9871,,,,161.416
31,apc,3D,0.313314,0.62864,3790.3,25.95792,20.18459,2.00642,,,,158.635
32,apd,3D,0.350788,0.57478,3995.4,23.31174,18.32624,1.63854,,,,152.72
33,atn,3D,0.321676,0.61054,3954.28,30.96663,22.25204,1.898,,,,161.263
34,att,3D,0.314626,0.62874,3834.86,26.21308,19.42224,1.99837,,,,157.389
35,atv,3D,0.337668,0.58056,4284.25,23.23966,18.83778,1.71932,,,,176.179
36,aww,3D,0.284605,0.65316,4080.6,36.9456,22.28414,2.29497,,,,239.414
37,baa,3D,0.426139,0.49238,3866.54,16.58397,12.93088,1.15544,,,,144.798
38,bab,3D,0.311903,0.64914,3325.52,28.5292,25.22146,2.08123,,,,122.919
39,bac,3D,0.349893,0.57636,4061.83,22.43662,19.25989,1.64725,,,,156.251
40,baf,3D,0.337573,0.59228,3872.05,23.9309,20.07873,1.75453,,,,156.928
41,bal,3D,0.358578,0.59444,2898.81,25.90812,21.71877,1.65777,,,,129.463
42,bao,3D,0.348904,0.59124,3726.94,23.90268,14.31343,1.69457,,,,146.215
43,bap,3D,0.257165,0.70668,3172.66,41.88688,29.52458,2.74797,,,,136.264
44,bay,3D,0.374362,0.55636,3796.27,24.94964,15.78869,1.48616,,,,141.968
45,bba,3D,0.37362,0.5447,4103.41,22.0102,13.48021,1.4579,,,,152.791
46,bbb,3D,0.342104,0.5854,4000.46,23.31362,19.06159,1.71118,,,,155.403
47,bbc,3D,0.375658,0.56172,3682.31,21.6052,16.46831,1.4953,,,,138.518
48,bbd,3D,0.308709,0.63164,3703.44,37.1374,23.67785,2.04607,,,,157.07
49,bbg,3D,0.498161,0.40182,3733.2,13.24157,10.50797,0.806607,,,,150.077
50,bbh,3D,0.409017,0.5119,3870.04,18.8111,14.61468,1.25154,,,,140.287
51,bbi,3D,0.351175,0.58708,3899.53,20.40707,14.24997,1.67176,,,,145.721
52,bbj,3D,0.330671,0.60266,4057.03,21.75865,13.88403,1.82254,,,,160.538
53,bbk,3D,0.433129,0.47484,3919.27,17.349,14.2851,1.0963,,,,157.4
54,bbl,3D,0.478719,0.43452,3732.04,15.55978,10.8648,0.907672,,,,131.542
55,bbm,3D,0.336366,0.59492,4015.45,21.45548,15.6584,1.76867,,,,154.649
56,bbr,3D,0.380946,0.5643,3475.43,24.51886,20.80595,1.48131,,,,133.883
57,bcb,3D,0.294647,0.64632,3699.66,40.1886,35.75819,2.19354,,,,145.8
58,bcd,3D,0.274307,0.68398,3526.23,45.52952,38.90362,2.49349,,,,146.005
59,bce,3D,0.304087,0.65378,3314.57,37.03878,32.95028,2.14998,,,,131.978
60,bcf,3D,0.249298,0.70802,3532.85,48.13465,43.9438,2.84006,,,,148.779
61,bcm,3D,0.471454,0.43564,3809.63,14.32214,10.88229,0.924034,,,,140.976
62,bcn,3D,0.416316,0.51338,3779.44,16.36261,12.26188,1.23315,,,,140.364
63,bco,3D,0.386741,0.52918,4106.4,17.80371,14.2645,1.3683,,,,165.768
64,bcp,3D,0.361149,0.57468,3778.28,23.45052,19.65199,1.59125,,,,162.578
65,bcx,3D,0.356083,0.60348,3124.63,26.83879,17.76621,1.69478,,,,133.384
66,bel,3D,0.311755,0.64296,3470.72,26.0917,21.24109,2.06239,,,,132.965
67,bik,3D,0.3542,0.56464,4182.02,23.62227,18.65886,1.59413,,,,183.479
68,bnl,3D,0.425151,0.52082,3365.36,20.05683,15.67282,1.22502,,,,131.933
69,byl,3D,0.372286,0.54508,4182.23,20.29653,13.80147,1.46414,,,,157.775
70,cag,3D,0.383093,0.53596,4120.64,17.70483,12.6836,1.39903,,,,150.602
71,can,3D,0.320055,0.61686,3895.88,27.89082,25.69984,1.92735,,,,184.878
72,cbn,3D,0.356705,0.55618,4273.8,19.67735,15.16133,1.55922,,,,169.254
73,cbo,3D,0.397038,0.5446,3617.07,21.77922,14.35347,1.37166,,,,123.728
