,Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
0,1D,1D,1.37884,0,0,5.15046,1.96321,0,0,8.185,,112.891
1,bew,2D,1.34824,0,0,5.19516,2.11729,0,,,,131.093
2,cpj,2D,1.29802,0,0,6.39457,2.03004,0,,,,131.058
3,cqb,2D,1.31534,0,0,7.93535,1.73053,0,,,,134.565
4,cqd,2D,1.25981,0,0,10.66068,3.34641,0,,,,132.868
5,cqe,2D,1.35606,0,0,4.23398,1.82012,0,6.722,8.257,,119.962
6,dha,2D,1.00361,0.17016,807.672,14.86528,10.28599,0.169548,,,,137.44
7,dhb,2D,1.36993,0,0,4.91413,2.32302,0,6.571,8.207,,119.047
8,dhc,2D,1.1134,0.10132,443.761,17.26121,14.30721,0.0910007,,,,137.528
9,dhd,2D,1.29563,0,0,8.06408,2.76665,0,,,,132.944
10,fwc,2D,1.2653,0.0433,230.533,11.53768,7.77668,0.0342212,,,,132.929
11,fwd,2D,1.28487,0,0,8.27817,2.13978,0,,,,130.456
12,fwe,2D,1.31665,0,0,7.75744,1.78899,0,,,,130.235
13,htb,2D,1.29349,0,0,6.88607,1.89341,0,,,,130.695
14,kgm,2D,1.12874,0.07182,709.912,8.19059,6.23529,0.0636285,,,,136.981
15,krq,2D,1.32017,0,0,5.89189,2.41517,0,,,,133.577
16,krr,2D,1.18864,0,0,9.57043,2.35351,0,,,,132.389
17,krs,2D,1.29983,0,0,7.07077,2.51147,0,7.335,8.2,,120.138
18,pnb,2D,1.28069,0,0,7.63699,2.01244,0,,,,132.636
19,pnc,2D,1.35281,0,0,6.25785,1.98295,0,,,,130.72
20,pne,2D,1.35625,0,0,4.84232,1.77777,0,14.222,8.342,,128.257
21,pnf,2D,1.3243,0,0,6.53353,1.91271,0,,,,131.618
22,sql,2D,1.40066,0,0,5.01641,1.54565,0,9.439,8.222,,126.16
23,abr,3D,0.377257,0.54692,3588.41,20.34327,15.7175,1.44973,,,,191.641
24,acsa,3D,0.339607,0.61824,3051.21,27.25263,22.37687,1.82045,,,,168.008
25,afi,3D,0.317399,0.60182,4136.33,36.58189,34.46867,1.8961,,,,208.351
26,afw,3D,0.381853,0.53492,3907.5,19.36371,12.26348,1.40085,,,,187.216
27,afy,3D,0.251226,0.70024,3482.61,40.3806,30.30736,2.7873,,,,196.563
28,aht,3D,0.316961,0.60006,4115.82,29.19367,25.56041,1.89316,,,,217.419
29,alba,3D,0.321401,0.59884,3914.77,26.29156,17.96482,1.86322,,,,204.596
30,albxd,3D,0.344374,0.56446,4095.51,33.16048,15.08963,1.63909,,,,195.863
31,apc,3D,0.319127,0.5982,4042.83,24.09797,19.29904,1.87449,,,,212.626
32,apd,3D,0.383932,0.53312,3807.9,22.0278,19.15299,1.38858,,,,190.606
33,atn,3D,0.331031,0.5875,3990.99,28.16143,20.46869,1.77476,,,,212.758
34,att,3D,0.326211,0.60938,3637.4,27.03624,19.29321,1.86806,,,,203.396
35,atv,3D,0.392775,0.50596,4127.68,21.29834,15.77972,1.28817,,,,196.348
36,aww,3D,0.296466,0.62658,4040.07,35.3478,22.44647,2.1135,,,,215.324
37,baa,3D,0.436548,0.4611,3871.61,16.86117,12.3482,1.05624,,,,195.516
38,bab,3D,0.31079,0.62776,3686.89,26.56678,23.40456,2.01989,,,,184.289
39,bac,3D,0.354823,0.55414,4181.54,22.18203,17.6154,1.56174,,,,209.086
40,baf,3D,0.33205,0.58052,4082.9,22.42814,16.97285,1.74829,,,,217.282
41,bal,3D,0.381827,0.55644,2880.16,25.15171,21.43842,1.45731,,,,175.53
42,bao,3D,0.386066,0.54366,3571.79,21.50214,14.6468,1.4082,,,,181.235
43,bap,3D,0.297602,0.66934,2829.54,37.34615,26.28498,2.24911,,,,174.673
44,bay,3D,0.35591,0.5523,4171.99,23.0912,15.90675,1.55179,,,,210.839
45,bba,3D,0.348102,0.55392,4420.37,22.78367,12.41573,1.59126,,,,228.536
46,bbb,3D,0.350058,0.56424,4120.77,22.59599,17.02161,1.61185,,,,204.201
47,bbc,3D,0.348112,0.56842,4003.04,24.3233,15.19983,1.63286,,,,208.604
48,bbd,3D,0.288022,0.63168,4107.43,37.27525,21.57748,2.19317,,,,230.774
49,bbg,3D,0.586822,0.30276,3214.86,11.77142,8.66102,0.515932,,,,178.719
50,bbh,3D,0.383649,0.52176,3964.81,18.77659,14.48228,1.35999,,,,208.335
51,bbi,3D,0.364981,0.55336,4050.92,17.96127,13.11069,1.51614,,,,194.182
52,bbj,3D,0.362386,0.5568,4021.05,19.88331,14.00798,1.53648,,,,195.56
53,bbk,3D,0.426872,0.4591,4139.64,17.09436,14.27047,1.0755,,,,217.322
54,bbl,3D,0.441197,0.44724,4059.84,14.56763,10.89189,1.0137,,,,202.829
55,bbm,3D,0.342435,0.57684,4080.89,19.48192,15.02987,1.68453,,,,206.278
56,bbr,3D,0.372019,0.54872,3616.71,22.92807,18.51465,1.47498,,,,193.682
57,bcb,3D,0.286589,0.64318,3870.98,38.96125,34.90138,2.24426,,,,209.308
58,bcd,3D,0.255975,0.68042,3872.71,45.16213,38.58191,2.65815,,,,221.452
59,bce,3D,0.285459,0.6557,3574.98,36.63734,31.45801,2.297,,,,201.053
60,bcf,3D,0.241665,0.70214,3717.39,48.7703,42.1275,2.90543,,,,213.013
61,bcm,3D,0.451436,0.42374,4164.29,14.56583,10.22801,0.93865,,,,207.838
62,bcn,3D,0.375567,0.52966,4188.75,17.35937,13.57795,1.41029,,,,217.973
63,bco,3D,0.417831,0.48302,4005.44,16.84992,13.13825,1.15602,,,,202.92
64,bcp,3D,0.356646,0.55732,3990,22.61841,19.28448,1.56267,,,,220.583
65,bcx,3D,0.350359,0.58474,3340.97,25.68809,16.78991,1.66897,,,,195.604
66,bel,3D,0.308724,0.62362,3694.97,25.6256,18.49898,2.01999,,,,193.887
67,bik,3D,0.341918,0.5623,4380.62,24.24689,19.20632,1.64454,,,,223.76
68,bnl,3D,0.454342,0.47364,3318.69,19.4351,14.34767,1.04248,,,,179.528
69,byl,3D,0.349268,0.54898,4455.66,18.35199,13.22749,1.5718,,,,231.437
70,cag,3D,0.422846,0.47882,3985.53,16.08004,11.80835,1.13237,,,,189.394
71,can,3D,0.326841,0.58592,4086.71,26.34504,24.1532,1.79267,,,,214.043
72,cbn,3D,0.350138,0.5441,4540.47,19.17482,14.71973,1.55396,,,,229.807
73,cbo,3D,0.353049,0.57164,3963.06,22.5129,15.08033,1.61915,,,,196.579
74,cbt,3D,0.344904,0.57884,3883.13,23.70601,15.32265,1.67826,,,,188.166
75,cda,3D,0.48796,0.40286,3780.42,15.84312,13.19409,0.8256,,,,199.194
76,cdp,3D,0.383227,0.5138,4362.25,16.88322,12.53002,1.34072,,,,213.278
77,cea,3D,0.284253,0.6388,4095.95,30.65061,24.90223,2.2473,,,,223.042
78,cena,3D,0.282227,0.67142,3635,42.35814,21.49266,2.379,,,,187.903
79,cfc,3D,0.630814,0.32822,2371.47,16.69785,10.76788,0.520312,,,,188.504
80,cgs,3D,0.325453,0.61468,3414.48,30.44034,22.07619,1.88869,,,,187.732
81,cnw,3D,0.345648,0.55066,4539.39,19.59441,15.94325,1.59313,,,,234.06
82,coe,3D,0.606033,0.29082,3014.31,12.08148,8.69886,0.479875,,,,183.419
83,coi,3D,0.624797,0.30672,2681.8,14.77311,12.00447,0.490912,,,,169.818
84,crb,3D,0.372,0.5282,4214.13,18.08589,14.20788,1.41989,,,,213.181
85,crba,3D,0.325469,0.65068,2959.81,30.60929,26.06999,1.99921,,,,160.797
86,cua,3D,0.35459,0.61062,2715.03,30.04135,24.08702,1.72204,,,,166.901
87,cus,3D,0.346743,0.5667,4018.45,22.25004,16.55879,1.63435,,,,212.381
88,dei,3D,0.25241,0.71512,2875.7,37.3328,28.58799,2.83317,,,,192.413
89,dft,3D,0.374426,0.54764,3740.56,21.65235,18.18828,1.46261,,,,190.554
90,dia,3D,0.388852,0.49634,4478.34,14.98063,11.50189,1.27642,,,,212.814
91,diaa,3D,0.352182,0.62446,2866.81,26.43551,19.92431,1.77312,,,,159.061
92,dmp,3D,0.676416,0.24628,2455.17,12.18472,8.69048,0.364095,,,,181.461
93,doh,3D,0.33558,0.5693,4346.37,34.24431,12.60332,1.69646,,,,209.507
94,edi,3D,0.367156,0.57758,3315.35,21.95491,15.21488,1.57312,,,,177.952
95,fel,3D,0.36495,0.56706,3515.01,23.827,16.39333,1.5538,,,,199.155
96,fte,3D,0.314129,0.61992,3673.48,32.3125,27.68798,1.97346,,,,193.182
97,ftk,3D,0.257896,0.68488,3799.72,44.22919,40.02799,2.65564,,,,213.135
98,ftl,3D,0.181009,0.79542,3295.59,54.65367,38.42967,4.39438,,,,176.951
99,ftn,3D,0.293084,0.6533,3671.13,34.32105,15.75051,2.22906,,,,182.054
100,fto,3D,0.251795,0.70738,3595.51,37.30702,19.94877,2.80935,,,,181.665
101,ftp,3D,0.306568,0.63616,3660.7,32.70092,14.38853,2.0751,,,,179.782
102,fum,3D,0.274041,0.6699,3637.37,45.52818,32.3935,2.44453,,,,196.125
103,fup,3D,0.31634,0.61912,3550.95,33.97768,22.11632,1.95714,,,,196.111
104,fvb,3D,0.275787,0.64562,4287.68,34.23657,19.9852,2.34101,,,,233.384
105,fve,3D,0.306749,0.61974,3786.44,34.3066,21.10198,2.02035,,,,206.058
