Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
1D,1D,1.555,0,0,3.906,1.536,0,0,8.191,Calculated,-82.479
bew,2D,1.416,0,0,4.198,2.108,0,17.855,8.248,Calculated,-48.046
cpj,2D,1.361,0,0,6.165,2.05,0,16.623,8.219,Calculated,-48.296
cqb,2D,1.347,0,0,7.337,2.331,0,21.763,8.227,Calculated,-43.228
cqd,2D,1.294,0,0,9.076,2.602,0,21.159,8.184,Calculated,-44.663
cqe,2D,1.396,0,0,5.047,1.986,0,1.384,8.22,Calculated,-63.872
dha,2D,0.978,0.192,1044.21,13.712,9.423,0.196,30.42,8.312,Calculated,-35.985
dhb,2D,1.372,0,0,6.533,2.51,0,13.676,8.227,Calculated,-52.529
dhc,2D,1.19,0.101,281.984,18.977,15.454,0.085,22.402,8.326,Calculated,-43.947
dhd,2D,1.318,0,0,8.136,3.367,0,20.883,8.177,Calculated,-44.199
fwc,2D,1.384,0,0,6.113,2.268,0,21.168,8.234,Calculated,-44.31
fwd,2D,1.349,0,0,10.069,2.058,0,22.797,8.198,Calculated,-43.395
fwe,2D,1.336,0.013,127.009,8.212,4.602,0.01,19.439,8.191,Calculated,-46.764
htb,2D,1.316,0,0,7.755,2.422,0,19.805,8.234,Calculated,-45.54
kgm,2D,1.365,0,0,6.013,2.548,0,20.987,8.213,Calculated,-45.481
krq,2D,1.32,0,0,9.572,2.542,0,23.318,8.205,Calculated,-42.84
krr,2D,1.435,0,0,4.357,1.765,0,21.601,8.205,Calculated,-45.251
krs,2D,1.234,0.04,547.599,8.668,3.993,0.033,15.636,8.163,Calculated,-49.895
pnb,2D,1.424,0,0,5.994,1.881,0,21.396,8.198,Calculated,-45.512
pnc,2D,1.346,0,0,6.871,2.72,0,19.16,8.198,Calculated,-46.791
pne,2D,1.34,0,0,6.001,2.452,0,23.177,8.298,Calculated,-43.878
pnf,2D,1.387,0,0,5.327,2.106,0,19.253,8.234,Calculated,-46.717
sql,2D,1.365,0,0,4.252,2.3,0,15.344,8.227,Calculated,-49.642
abr,3D,0.538,0.425,2913.44,15.562,12.007,0.79,31.92,8.212,Calculated,-24.047
acsa,3D,0.283,0.673,3745.75,30.127,24.876,2.377,50.1,8.24,Calculated,-4.723
afi,3D,0.285,0.645,4583.51,37.407,35.211,2.265,78.543,8.17,Calculated,22.253
afw,3D,0.374,0.559,4039.5,19.091,12.368,1.496,50.308,8.205,Calculated,-6.42
afy,3D,0.28,0.688,3315.65,36.622,27.545,2.456,42.83,8.233,Calculated,-12.447
aht,3D,0.461,0.498,3180.97,24.402,20.135,1.079,36.068,8.184,Calculated,-21.081
alba,3D,0.337,0.603,3969.54,24.888,17.495,1.79,53.41,8.219,Calculated,-4.167
albxd,3D,0.295,0.633,4469.75,34.346,12.976,2.144,75.348,8.184,Calculated,18.217
apc,3D,0.45,0.511,3154.89,19.594,14.891,1.136,37.3,8.205,Calculated,-20.623
apd,3D,0.492,0.463,3226.8,19.195,14.173,0.939,38.52,8.191,Calculated,-19.571
atn,3D,0.588,0.4,2444.67,19.899,14.567,0.68,28.106,8.17,Calculated,-29.763
att,3D,0.662,0.316,2395.8,13.146,10.248,0.476,24.28,8.205,Calculated,-30.798
atv,3D,0.612,0.354,2809.03,16.901,13.178,0.578,33.133,8.219,Calculated,-25.61
