,Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
0,1D,1D,1.26649,0,0,5.79852,2.50029,0,0,8.145,,102.688
1,bew,2D,1.25782,0,0,5.59526,2.10482,0,,,,116.321
2,cpj,2D,1.24415,0,0,7.23952,1.88441,0,,,,119.638
3,cqb,2D,1.27164,0,0,5.77032,1.70502,0,,,,117.854
4,cqd,2D,1.15826,0.03636,272.373,9.96757,5.79237,0.0313919,,,,126.319
5,cqe,2D,1.31199,0,0,4.20396,1.72676,0,1.587,8.141,,103.073
6,dha,2D,1.05136,0.07416,767.903,9.51848,5.24069,0.0705372,,,,127.697
7,dhb,2D,1.25219,0,0,5.14261,2.26767,0,9.616,8.211,,109.725
8,dhc,2D,1.05336,0.11396,304.689,21.92812,19.61519,0.108187,,,,122.106
9,dhd,2D,1.2341,0,0,7.24775,2.0221,0,,,,120.065
10,fwc,2D,1.22552,0.01068,128.361,7.91739,4.94978,0.00871467,,,,123.149
11,fwd,2D,1.20519,0,0,10.88662,2.8543,0,,,,121.787
12,fwe,2D,1.17666,0,0,8.44203,2.16066,0,,,,119.92
13,htb,2D,1.25162,0,0,6.96966,2.40881,0,,,,116.546
14,kgm,2D,1.26017,0,0,4.75679,1.79294,0,,,,120.158
15,krq,2D,1.19436,0,0,8.47872,2.51944,0,,,,122.688
16,krr,2D,1.15618,0,0,8.74051,2.93007,0,,,,125.153
17,krs,2D,1.11748,0.04272,498.588,9.43,4.83102,0.0382288,7.364,8.202,,112.183
18,pnb,2D,1.29685,0,0,5.84069,1.67394,0,,,,119.182
19,pnc,2D,1.27686,0,0,5.03572,1.85491,0,,,,117.514
20,pne,2D,1.2925,0,0,5.29293,1.67099,0,12.647,8.302,,112.684
21,pnf,2D,1.28149,0,0,5.56224,1.75239,0,14.425,8.203,,114.263
22,sql,2D,1.286,0,0,5.41664,1.84501,0,,,,115.696
23,abr,3D,0.371242,0.5359,3525.64,21.81923,14.69658,1.44353,,,,197.576
24,acsa,3D,0.359619,0.57678,3027.87,27.95242,22.36504,1.60387,,,,158.622
25,afi,3D,0.341726,0.55624,3944.27,35.39552,31.82569,1.62774,,,,203.178
26,afw,3D,0.414533,0.47556,3717.27,18.75897,11.53769,1.14722,,,,179.546
27,afy,3D,0.276218,0.66952,3142.95,39.44803,27.35465,2.42388,,,,182.949
28,aht,3D,0.369874,0.53558,3670.96,27.494,23.98307,1.44801,,,,191.663
29,alba,3D,0.354361,0.5598,3516.73,25.46104,17.74882,1.57974,,,,193.072
30,albxd,3D,0.347213,0.54558,3937.2,34.83361,12.7461,1.57131,,,,204.983
31,apc,3D,0.359252,0.5526,3540.81,23.78973,17.88423,1.53819,,,,193.461
32,apd,3D,0.37843,0.51802,3800.48,22.66478,17.57816,1.36887,,,,202.312
33,atn,3D,0.352684,0.54702,3800.63,28.69281,20.52086,1.55102,,,,207.524
34,att,3D,0.372623,0.54908,3372.7,23.79534,16.87081,1.47355,,,,185.089
35,atv,3D,0.384527,0.48866,4229.48,21.53245,18.06268,1.27081,,,,213.764
36,aww,3D,0.324267,0.58514,3866.68,33.16169,16.95162,1.8045,,,,208.057
37,baa,3D,0.459529,0.41286,3737.85,16.22622,11.79411,0.898441,,,,192.403
38,bab,3D,0.335354,0.58798,3486.45,26.49103,22.20001,1.75331,,,,174.644
39,bac,3D,0.397511,0.49014,3868.24,21.05119,16.80812,1.23302,,,,194.746
40,baf,3D,0.382321,0.5112,3727.66,20.42098,16.30044,1.3371,,,,195.157
41,bal,3D,0.439889,0.50194,2542.59,23.46722,18.68854,1.14106,,,,157.145
42,bao,3D,0.382523,0.52728,3556.68,22.76813,13.94358,1.37843,,,,190.22
43,bap,3D,0.278369,0.66336,3088.89,37.28404,28.72519,2.38302,,,,181.72
