,Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
0,1D,1D,1.38503,0,0,5.92984,1.55749,0,0,8.225,,125.052
1,bew,2D,1.35843,0,0,5.34115,1.46303,0,,,,146.969
2,cpj,2D,1.34766,0,0,5.9103,1.77741,0,,,,145.592
3,cqb,2D,1.39762,0,0,4.64902,1.693,0,,,,142.402
4,cqd,2D,1.23608,0.04716,364.085,11.79528,6.56326,0.0381528,,,,151.563
5,cqe,2D,1.38252,0,0,4.77468,1.72559,0,5.555,8.241,,132.335
6,dha,2D,1.25893,0,0,7.39975,3.29638,0,,,,153.603
7,dhb,2D,1.37996,0,0,4.27319,2.0736,0,5.575,8.241,,132.613
8,dhc,2D,1.15581,0.11412,268.077,22.82136,17.05767,0.0987363,,,,195.598
9,dhd,2D,1.3592,0,0,6.56838,1.72401,0,,,,144.106
10,fwc,2D,1.25333,0.0234,228.191,8.79463,6.32086,0.0186702,,,,151.856
11,fwd,2D,1.33955,0,0,7.25945,1.943,0,,,,149.389
12,fwe,2D,1.31676,0,0,7.56691,1.63915,0,,,,175.702
13,htb,2D,1.34747,0,0,7.11195,1.80603,0,,,,143.711
14,kgm,2D,1.40185,0,0,3.89091,1.67933,0,,,,146.674
15,krq,2D,1.32739,0,0,9.00821,2.09305,0,,,,149.336
16,krr,2D,1.36813,0,0,5.89061,1.8833,0,,,,144.39
17,krs,2D,1.35154,0,0,6.12504,1.90849,0,10.669,8.239,,136.857
18,pnb,2D,1.35421,0,0,5.56881,1.65775,0,,,,177.869
19,pnc,2D,1.39111,0,0,5.07059,1.60929,0,16.417,8.189,,141.907
20,pne,2D,1.32109,0,0,6.00884,1.83299,0,,,,148.831
21,pnf,2D,1.34195,0,0,5.875,1.77055,0,,,,144.248
22,sql,2D,1.3513,0,0,6.1522,2.10368,0,15.881,8.226,,141.226
23,abr,3D,0.467396,0.4891,2750.78,22.24414,14.01349,1.04644,,,,230.791
24,acsa,3D,0.465174,0.51816,2435.13,25.80382,20.67092,1.1139,,,,189.247
25,afi,3D,0.414515,0.52228,3159.78,33.47034,30.53984,1.25998,,,,252.037
26,afw,3D,0.493299,0.44008,3131.91,15.76173,11.35093,0.892116,,,,228.208
27,afy,3D,0.368371,0.6185,2463.53,36.69371,28.96907,1.67901,,,,199.501
28,aht,3D,0.464315,0.4848,2752.39,28.02584,19.49747,1.04412,,,,228.205
29,alba,3D,0.4697,0.48652,2855.81,21.21224,13.12034,1.03581,,,,214.226
30,albxd,3D,0.438736,0.49342,3045.58,29.14929,11.4776,1.12464,,,,241.443
31,apc,3D,0.454839,0.4957,2879.23,22.26828,15.81513,1.08984,,,,225.963
32,apd,3D,0.479065,0.46444,2926,21.63187,15.8136,0.969472,,,,255.246
33,atn,3D,0.45458,0.49134,2904.52,25.76779,22.39395,1.08087,,,,288.112
34,att,3D,0.437865,0.52578,2809.76,21.60662,15.29345,1.20078,,,,231.855
35,atv,3D,0.499767,0.41844,3149.27,20.46483,14.12298,0.83727,,,,244.175
36,aww,3D,0.440889,0.51788,2749.66,30.34528,19.41192,1.17463,,,,219.59
37,baa,3D,0.571675,0.37104,2565.89,15.39096,11.17928,0.64904,,,,229.368
38,bab,3D,0.420934,0.53996,2778.29,25.99306,20.49647,1.28277,,,,210.732
39,bac,3D,0.490897,0.44796,2866.13,22.17717,14.00115,0.912533,,,,238.013
40,baf,3D,0.476175,0.46962,2847.99,22.95022,16.86301,0.986235,,,,234.294
41,bal,3D,0.557477,0.45672,1953.64,21.21161,17.20523,0.819263,,,,184.425
42,bao,3D,0.527822,0.438,2588.18,18.36449,12.42255,0.829826,,,,206.468
43,bap,3D,0.382934,0.60844,2330.64,35.93031,25.98659,1.58889,,,,194.367
44,bay,3D,0.486503,0.4419,3116.61,23.65866,13.54665,0.908319,,,,242.339
45,bba,3D,0.520456,0.38924,3322.74,18.25926,11.74562,0.747882,,,,238.733
46,bbb,3D,0.47685,0.46512,2936.13,21.74326,15.56077,0.975401,,,,235.637
47,bbc,3D,0.510198,0.43432,2859.35,16.52053,13.9005,0.851278,,,,219.778
48,bbd,3D,0.446383,0.51176,2671.9,30.99425,23.55438,1.14646,,,,223.727
49,bbg,3D,0.700171,0.25434,2207.29,13.56793,8.6616,0.363254,,,,218.32
50,bbh,3D,0.505136,0.42156,3112.77,15.58209,12.23297,0.834547,,,,247.104
51,bbi,3D,0.493015,0.4427,3042.69,15.24782,11.9026,0.897944,,,,228.637
52,bbj,3D,0.498162,0.44022,3059.81,17.19123,11.05427,0.883689,,,,225.277
53,bbk,3D,0.665577,0.29742,2101.98,17.33911,13.17858,0.446861,,,,206.098
54,bbl,3D,0.627081,0.2979,2771.32,13.91397,9.59129,0.475058,,,,223.24
55,bbm,3D,0.478445,0.45658,3052.75,18.04026,12.33664,0.9543,,,,236.05
56,bbr,3D,0.489221,0.46964,2695.17,23.90554,18.5886,0.959976,,,,225.768
57,bcb,3D,0.397005,0.56066,2787.85,36.39088,30.6989,1.41222,,,,230.346
58,bcd,3D,0.418289,0.56428,2410.68,36.46642,29.84641,1.34902,,,,200.639
59,bce,3D,0.410713,0.56602,2439.02,32.1494,27.90795,1.37814,,,,209.301
60,bcf,3D,0.363102,0.61932,2427.25,43.84396,37.81256,1.70564,,,,227.322
61,bcm,3D,0.689836,0.26876,2293.03,13.5075,8.89436,0.3896,,,,201.613
