Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
1D,1D,1.597,0.000,0.000,4.467,1.609,0.000,0,8.183,Calculated,19.807
bew,2D,1.564,0.000,0.000,4.388,1.578,0.000,17.099,8.283,Calculated,36.239
cpj,2D,1.482,0.000,0.000,5.770,1.913,0.000,,,,39.733
cqb,2D,1.493,0.000,0.000,6.142,2.406,0.000,,,,40.752
cqd,2D,1.436,0.000,0.000,9.140,2.932,0.000,,,,41.173
cqe,2D,1.596,0.000,0.000,4.528,1.868,0.000,1.552,8.19,Calculated,21.281
dha,2D,1.559,0.000,0.000,4.093,1.861,0.000,,,,39.296
dhb,2D,1.535,0.000,0.000,5.399,2.158,0.000,6.927,8.141,Calculated,27.184
dhc,2D,1.285,0.113,275.266,19.469,15.941,0.088,,,,41.928
dhd,2D,1.427,0.000,0.000,9.573,2.056,0.000,,,,42.631
fwc,2D,1.431,0.000,0.000,7.542,3.472,0.000,,,,42.08
fwd,2D,1.492,0.000,0.000,6.172,1.920,0.000,,,,41.581
fwe,2D,1.474,0.000,0.000,5.533,2.086,0.000,,,,39.998
htb,2D,1.514,0.000,0.000,4.528,2.223,0.000,,,,39.604
kgm,2D,1.295,0.000,0.000,7.793,2.986,0.000,,,,46.848
krq,2D,1.469,0.000,0.000,7.829,2.131,0.000,,,,40.891
krr,2D,1.533,0.000,0.000,4.906,2.002,0.000,,,,39.485
krs,2D,1.361,0.027,245.429,8.056,5.428,0.020,8.268,8.233,Calculated,30.327
pnb,2D,1.525,0.000,0.000,4.864,2.066,0.000,,,,41.544
pnc,2D,1.484,0.000,0.000,7.634,3.470,0.000,,,,39.387
pne,2D,1.496,0.000,0.000,7.080,1.716,0.000,,,,38.908
pnf,2D,1.488,0.000,0.000,5.912,2.088,0.000,,,,42.174
sql,2D,1.660,0.000,0.000,3.251,1.573,0.000,9.555,8.226,Calculated,27.4
abr,3D,0.375,0.581,3563.050,22.018,14.976,1.549,,,,85.254
acsa,3D,0.297,0.676,3406.120,29.235,24.988,2.277,,,,79.654
afi,3D,0.296,0.654,4140.570,38.783,35.813,2.208,,,,108.528
afw,3D,0.352,0.597,3964.460,20.105,14.418,1.697,,,,93.277
afy,3D,0.240,0.730,3741.100,41.383,31.988,3.041,,,,95.129
aht,3D,0.319,0.632,3917.150,30.373,26.051,1.983,,,,100.382
alba,3D,0.305,0.648,3956.790,28.306,20.019,2.124,,,,101.539
albxd,3D,0.327,0.619,3984.980,33.560,14.977,1.890,,,,92.864
apc,3D,0.280,0.665,4277.730,25.579,20.699,2.379,,,,125.469
apd,3D,0.309,0.634,4273.330,24.515,19.558,2.050,,,,121.173
atn,3D,0.316,0.628,4122.440,29.427,21.679,1.986,,,,107.64
att,3D,0.342,0.620,3670.580,24.350,18.753,1.810,,,,89.507
atv,3D,0.359,0.583,4089.180,21.359,18.363,1.626,,,,100.226
aww,3D,0.268,0.682,4301.430,36.911,24.791,2.548,,,,123.378
baa,3D,0.387,0.546,4135.780,17.089,13.666,1.411,,,,107.116
bab,3D,0.318,0.654,3430.490,28.054,25.648,2.054,,,,76.189
bac,3D,0.318,0.623,4245.840,22.687,17.402,1.960,,,,119.646
baf,3D,0.311,0.634,4084.960,24.199,19.613,2.043,,,,115.115
bal,3D,0.333,0.634,3443.190,26.078,21.837,1.903,,,,91.629
bao,3D,0.331,0.621,3907.580,24.947,17.440,1.872,,,,98.286
bap,3D,0.240,0.727,3680.250,42.993,30.732,3.026,,,,94.875
bay,3D,0.345,0.602,4059.540,24.873,17.301,1.746,,,,101.433
bba,3D,0.361,0.578,4118.990,22.543,13.000,1.602,,,,102.137
bbb,3D,0.303,0.641,4274.970,24.338,19.228,2.119,,,,153.491
bbc,3D,0.322,0.626,4127.640,24.854,17.929,1.946,,,,108.54
bbd,3D,0.293,0.658,4041.330,36.749,23.163,2.249,,,,110.765
bbg,3D,0.449,0.476,4030.050,13.390,10.927,1.059,,,,109.487
bbh,3D,0.365,0.578,4072.610,18.376,14.594,1.583,,,,104.941
bbi,3D,0.355,0.602,3801.830,18.672,14.525,1.696,,,,90.103
bbj,3D,0.302,0.651,4092.370,22.396,16.561,2.158,,,,121.133
bbk,3D,0.435,0.498,4008.440,16.830,14.308,1.144,,,,98.866
bbl,3D,0.408,0.522,4151.680,15.616,12.404,1.279,,,,105.637
bbm,3D,0.352,0.605,3839.430,18.990,15.214,1.716,,,,92.471
bbr,3D,0.361,0.591,3703.620,24.420,20.913,1.637,,,,90.935
bcb,3D,0.260,0.695,4083.560,41.714,36.907,2.675,,,,115.357
bcd,3D,0.244,0.715,3977.360,45.950,40.030,2.930,,,,114.944
bce,3D,0.267,0.693,3783.160,38.212,34.308,2.596,,,,101.154
bcf,3D,0.229,0.732,3907.320,49.098,44.078,3.196,,,,109.908
bcm,3D,0.416,0.505,4195.970,14.782,10.868,1.213,,,,110.187
bcn,3D,0.391,0.555,3906.630,16.757,13.190,1.421,,,,95.913
bco,3D,0.442,0.508,3667.820,16.334,13.809,1.147,,,,108.456
bcp,3D,0.327,0.616,4159.360,23.168,19.438,1.887,,,,127.864
bcx,3D,0.314,0.644,3634.680,27.822,18.764,2.048,,,,105.423
bel,3D,0.294,0.665,3796.570,26.118,20.008,2.260,,,,90.483
bik,3D,0.331,0.607,4301.010,23.445,20.455,1.833,,,,113.588
bnl,3D,0.380,0.577,3577.890,23.968,17.001,1.517,,,,98.79
byl,3D,0.321,0.614,4476.140,20.194,14.745,1.914,,,,134.153
cag,3D,0.347,0.590,4246.310,17.673,13.350,1.697,,,,111.514
can,3D,0.298,0.645,4202.140,27.931,25.946,2.161,,,,116.636
cbn,3D,0.315,0.620,4514.760,21.015,17.199,1.968,,,,136.265
cbo,3D,0.370,0.592,3692.100,22.912,14.425,1.601,,,,82.789
cbt,3D,0.311,0.644,3935.240,24.793,18.399,2.074,,,,99.113
cda,3D,0.418,0.514,4120.010,18.972,14.713,1.229,,,,118.077
cdp,3D,0.353,0.582,4289.700,17.372,14.565,1.648,,,,113.518
cea,3D,0.262,0.689,4246.780,31.913,26.627,2.633,,,,124.5
cena,3D,0.283,0.694,3500.600,42.537,21.022,2.453,,,,80.584
cfc,3D,0.560,0.417,2784.370,17.426,12.939,0.745,,,,106.546
cgs,3D,0.297,0.666,3661.840,31.253,24.853,2.239,,,,92.327
cnw,3D,0.318,0.615,4501.640,20.858,16.938,1.935,,,,135.839
coe,3D,0.537,0.381,3692.150,13.295,9.668,0.709,,,,98.105
coi,3D,0.560,0.398,3067.400,16.731,13.176,0.710,,,,84.261
crb,3D,0.359,0.585,4208.760,17.965,15.202,1.629,,,,103.548
crba,3D,0.301,0.706,2895.350,33.176,28.354,2.348,,,,63.673
cua,3D,0.327,0.664,2813.570,32.747,25.720,2.031,,,,71.674
cus,3D,0.317,0.630,4140.110,24.174,18.817,1.986,,,,115.397
dei,3D,0.251,0.726,3338.890,35.686,28.925,2.896,,,,86.996
dft,3D,0.394,0.569,3554.600,20.329,16.302,1.444,,,,76.977
dia,3D,0.394,0.542,4111.160,15.840,12.188,1.377,,,,95.685
diaa,3D,0.323,0.683,2850.710,28.918,21.159,2.114,30.482,8.204,Calculated,62.884
dmp,3D,0.664,0.309,2646.730,12.074,8.847,0.466,,,,77.351
doh,3D,0.288,0.649,4450.130,37.503,15.201,2.250,,,,128.049
edi,3D,0.341,0.629,3421.630,24.560,17.388,1.842,,,,81.558
fel,3D,0.336,0.617,3855.400,24.302,19.460,1.837,,,,105.64
fte,3D,0.262,0.696,4082.860,34.724,30.416,2.660,,,,112.842
ftk,3D,0.239,0.725,3944.270,47.077,44.583,3.037,,,,114.863
ftl,3D,0.165,0.826,3238.480,57.596,39.546,4.995,,,,80.732
ftn,3D,0.264,0.706,3613.310,38.154,18.150,2.673,,,,85.753
fto,3D,0.230,0.751,3555.400,39.931,22.245,3.263,,,,87.11
ftp,3D,0.287,0.687,3515.760,35.177,16.521,2.396,,,,80.312
fum,3D,0.272,0.696,3685.160,47.254,35.190,2.559,,,,90.042
fup,3D,0.271,0.685,4032.290,35.391,23.761,2.528,,,,113.925
fvb,3D,0.289,0.663,4063.920,33.559,21.482,2.296,,,,104.898
fve,3D,0.297,0.657,3833.630,35.911,22.200,2.208,,,,99.113
fvk,3D,0.305,0.647,4056.130,32.604,22.687,2.118,,,,106.995
fvn,3D,0.287,0.673,3840.990,41.629,37.459,2.346,,,,98.634
fvu,3D,0.322,0.621,4141.440,28.491,21.900,1.931,,,,184.54
fvw,3D,0.350,0.604,3713.390,26.238,19.532,1.727,,,,93.505
gcc,3D,0.231,0.735,3837.740,50.051,48.798,3.185,,,,99.863
gis,3D,0.262,0.689,4293.350,29.115,22.138,2.633,,,,124.656
gme,3D,0.277,0.680,3925.360,32.718,28.528,2.451,,,,103.55
gsi,3D,0.431,0.496,4165.410,14.252,11.208,1.151,,,,99.737
hbo,3D,0.323,0.637,3735.750,29.817,16.734,1.971,,,,92.635
icm,3D,0.324,0.637,3740.140,24.252,18.847,1.967,,,,87.285
icv,3D,0.520,0.410,3764.360,13.405,9.590,0.788,,,,96.573
irl,3D,0.405,0.560,3439.880,16.220,15.109,1.382,,,,83.271
isk,3D,0.321,0.620,4228.450,26.302,14.567,1.932,,,,111.705
isl,3D,0.324,0.614,4275.460,23.435,14.525,1.896,,,,113.426
isp,3D,0.301,0.641,4324.200,26.184,14.867,2.132,,,,123.963
isq,3D,0.337,0.600,4188.870,23.502,13.799,1.782,,,,101.399
iss,3D,0.355,0.593,3958.020,25.252,13.057,1.672,,,,95.933
isy,3D,0.294,0.646,4345.640,27.943,15.530,2.196,,,,122.695
itv,3D,0.592,0.329,3612.750,11.703,7.677,0.556,,,,92.349
kea,3D,0.446,0.506,3674.200,18.204,13.340,1.134,,,,83.459
ket,3D,0.288,0.679,3729.400,29.056,25.746,2.356,,,,95.553
kwo,3D,0.300,0.645,4302.980,29.147,14.042,2.151,,,,118.625
lcs,3D,0.454,0.483,3818.200,16.023,10.957,1.062,,,,83.063
lcya,3D,0.279,0.702,3235.410,29.940,26.565,2.520,,,,74.353
lon,3D,0.361,0.568,4332.140,17.356,13.590,1.574,,,,114.164
lona,3D,0.228,0.768,3141.770,35.203,25.188,3.371,,,,68.396
los,3D,0.283,0.659,4310.910,30.408,15.004,2.329,,,,122.488
lta,3D,0.253,0.706,3969.720,47.950,22.027,2.788,,,,100.618
ltj,3D,0.331,0.620,3966.350,23.425,17.352,1.873,,,,102.924
mdf,3D,1.008,0.093,1240.230,9.409,6.217,0.092,21.859,8.204,Calculated,51.351
mer,3D,0.252,0.698,4313.810,37.242,23.182,2.766,,,,133.483
mmt,3D,0.438,0.487,4089.670,14.125,10.677,1.110,,,,98.401
mok,3D,0.615,0.313,3229.930,10.939,7.991,0.509,,,,103.374
mon,3D,0.354,0.595,3937.780,22.093,17.741,1.678,,,,92.782
neb,3D,0.462,0.467,3950.900,14.092,10.473,1.012,,,,93.29
noq,3D,0.313,0.621,4359.830,22.591,18.359,1.982,,,,123.07
not,3D,0.517,0.441,3234.800,14.991,11.324,0.853,,,,87.509
npo,3D,0.315,0.646,3823.150,28.791,23.779,2.053,,,,87.256
npoa,3D,0.214,0.786,2974.480,52.231,48.251,3.666,,,,65.199
ntn,3D,0.416,0.530,3723.880,19.301,15.545,1.273,,,,86.242
off,3D,0.276,0.675,4095.910,32.027,29.720,2.444,,,,109.652
omy,3D,0.317,0.668,3330.900,25.167,19.269,2.111,,,,68.934
pcb,3D,0.293,0.658,4108.170,23.018,19.408,2.244,,,,107.975
pcl,3D,0.308,0.629,4234.120,23.875,20.080,2.042,,,,114.071
phi,3D,0.292,0.668,3919.880,29.248,20.038,2.291,,,,103.305
qtz,3D,0.465,0.462,4051.340,12.392,9.847,0.995,,,,99.26
qtza,3D,0.254,0.739,3152.650,25.701,23.597,2.911,,,,66.139
qzj,3D,0.257,0.737,3108.070,35.085,24.067,2.864,,,,68.601
rac,3D,0.587,0.392,2676.380,16.017,13.284,0.666,,,,67.549
rae,3D,0.425,0.543,3324.170,18.612,15.625,1.278,,,,82.081
sas,3D,0.261,0.691,4090.590,41.997,24.046,2.646,,,,112.523
sca,3D,0.325,0.621,4110.810,25.049,17.684,1.907,,,,105.723
sie,3D,0.350,0.584,4339.990,18.246,15.415,1.667,,,,113.637
sod,3D,0.335,0.615,3960.980,26.814,12.804,1.833,,,,89.323
sow,3D,0.753,0.249,2250.110,11.549,8.179,0.331,,,,100.313
sra,3D,0.314,0.630,4134.640,23.496,20.227,2.005,,,,110.756
srb,3D,0.381,0.592,3186.700,25.071,21.540,1.555,,,,76.746
thj,3D,0.543,0.415,3329.060,15.273,11.621,0.764,,,,76.867
tpd,3D,0.329,0.610,4249.170,20.881,14.228,1.854,,,,112.289
tsja,3D,0.250,0.745,3051.190,35.100,29.466,2.981,,,,68.076
tzs,3D,0.305,0.630,4368.170,25.024,20.583,2.064,,,,124.775
ucn,3D,0.341,0.625,3456.810,23.023,17.823,1.833,,,,76.733
umb,3D,0.323,0.650,3256.290,33.451,32.091,2.011,,,,80.003
umc,3D,0.378,0.589,3306.680,19.892,17.000,1.556,,,,83.862
umd,3D,0.460,0.509,3177.690,20.058,14.171,1.106,,,,79.363
umf,3D,0.421,0.557,3048.500,19.634,17.422,1.324,,,,74.46
umi,3D,0.377,0.579,3670.590,21.659,16.432,1.536,,,,84.231
umk,3D,0.265,0.688,4298.820,39.779,37.040,2.599,,,,122.497
umm,3D,0.391,0.606,2580.420,35.818,32.695,1.548,,,,66.213
umo,3D,0.302,0.665,3451.430,35.124,32.680,2.206,,,,91.914
umq,3D,0.319,0.630,4111.520,24.227,19.624,1.976,,,,106.846
umw,3D,0.410,0.544,3493.660,23.612,19.273,1.326,,,,80.509
umx,3D,0.430,0.535,3265.370,23.845,21.558,1.246,,,,75.557
umy,3D,0.400,0.554,3588.580,17.580,14.017,1.384,,,,85.963
umz,3D,0.426,0.533,3433.460,21.660,18.819,1.252,,,,79.413
una,3D,0.370,0.564,4099.190,29.069,26.500,1.523,,,,129.032
unc,3D,0.379,0.552,4234.760,19.231,15.633,1.458,,,,114.474
und,3D,0.352,0.582,4372.860,19.993,17.206,1.654,,,,130.445
une,3D,0.504,0.431,3644.610,15.892,10.409,0.856,,,,91.175
unf,3D,0.492,0.445,3605.380,16.131,10.683,0.905,,,,93.316
unh,3D,0.325,0.618,4055.320,28.047,25.344,1.904,,,,115.022
uni,3D,0.367,0.564,4329.050,18.317,15.690,1.537,,,,119.778
unj,3D,0.322,0.611,4481.610,20.893,18.103,1.896,,,,119.607
unm,3D,0.601,0.363,2855.760,14.396,9.547,0.603,,,,71.657
unn,3D,0.509,0.444,3243.630,16.476,14.805,0.873,,,,79.348
unp,3D,0.270,0.700,3446.760,31.491,22.289,2.589,,,,84.861
unv,3D,0.434,0.529,3402.810,20.246,14.979,1.221,,,,78.525
unw,3D,0.483,0.498,2908.980,25.289,14.343,1.030,,,,72.344
uob,3D,0.453,0.507,3180.380,24.639,21.810,1.120,,,,79.306
uoc,3D,0.406,0.543,3700.670,17.113,14.102,1.339,,,,90.517
uog,3D,0.421,0.535,3610.420,19.266,16.761,1.269,,,,80.068
uoj,3D,0.418,0.531,3630.790,17.493,13.017,1.269,,,,88.939
uol,3D,0.393,0.564,3477.020,20.170,14.380,1.433,,,,92.787
uoo,3D,0.605,0.345,3096.480,12.861,9.528,0.570,,,,85.385
uoq,3D,0.313,0.627,4293.470,31.354,29.037,2.001,,,,121.261
uot,3D,0.366,0.577,3938.460,24.722,15.368,1.577,,,,108.009
uou,3D,0.357,0.577,4190.140,17.708,14.105,1.617,,,,119.173
uov,3D,0.453,0.503,3377.500,17.503,15.840,1.110,,,,81.464
uow,3D,0.386,0.562,3778.590,21.518,18.923,1.456,,,,99.265
uox,3D,0.408,0.535,3779.320,17.604,13.057,1.311,,,,90.17
uoz,3D,0.423,0.520,3814.100,18.147,15.292,1.229,,,,90.709
upa,3D,0.593,0.383,2760.990,15.237,11.558,0.646,,,,69.072
upb,3D,0.485,0.510,2868.980,16.653,13.593,1.052,,,,66.755
upc,3D,0.680,0.308,2315.240,15.874,10.259,0.453,,,,70.378
ure,3D,1.087,0.059,1048.470,7.027,4.678,0.055,25.924,8.204,Calculated,52.284
wje,3D,0.476,0.466,3659.650,15.127,12.492,0.978,,,,85.078
wjf,3D,0.372,0.583,3706.500,23.214,20.744,1.567,,,,121.11
wjg,3D,0.728,0.258,2373.050,11.759,8.913,0.355,,,,63.263
wjh,3D,0.274,0.683,3972.110,39.931,37.681,2.493,,,,104.521
wji,3D,0.385,0.565,3807.140,27.006,25.157,1.469,,,,90.01
wut,3D,0.613,0.357,2961.320,13.134,9.015,0.582,,,,73.51
xbya,3D,0.354,0.664,2562.920,29.328,24.916,1.876,29.281,8.19,Calculated,60.096
yug,3D,0.319,0.628,4186.210,23.981,20.211,1.969,,,,103.711
zni,3D,0.595,0.325,3574.920,12.782,10.055,0.545,,,,92.268
zsn,3D,0.402,0.540,3855.890,18.838,15.353,1.341,,,,86.607
afwa,3D,0.267,0.734,2880.690,32.149,24.480,2.752,,,,63.962
afx,3D,0.253,0.703,4178.640,34.270,22.473,2.780,,,,121.363
ana,3D,0.333,0.613,3882.790,22.942,16.048,1.839,,,,104.501
anaa,3D,0.186,0.804,3255.320,46.628,30.459,4.314,,,,80.483
